"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","test2","","Fri Feb 07 18:58:37 CET 2025","passed","Fri Feb 07 18:58:37 CET 2025","Google","Rest3","",""
"","113","test4","","Fri Feb 07 18:58:37 CET 2025","passed","Fri Feb 07 18:58:37 CET 2025","Google","Rest3","",""
"","57","test Blague animal","","Fri Feb 07 18:58:34 CET 2025","passed","Fri Feb 07 18:58:34 CET 2025","chuckNorris","Rest3","",""
"","106","test3","","Fri Feb 07 18:58:37 CET 2025","passed","Fri Feb 07 18:58:37 CET 2025","Google","Rest3","",""
"","209","Test Blague au hasard","","Fri Feb 07 18:58:34 CET 2025","passed","Fri Feb 07 18:58:34 CET 2025","chuckNorris","Rest3","",""
"","1091","Tester une blague de chaque catégorie","","Fri Feb 07 18:58:34 CET 2025","passed","Fri Feb 07 18:58:35 CET 2025","chuckNorris","Rest3","",""
"","1076","afficher la liste des catégories","","Fri Feb 07 18:58:35 CET 2025","passed","Fri Feb 07 18:58:37 CET 2025","chuckNorris","Rest3","",""
"","146","test1","","Fri Feb 07 18:58:37 CET 2025","passed","Fri Feb 07 18:58:37 CET 2025","Google","Rest3","",""
